DATE,Aged 16-17,Aged 18-24,Aged 25-34,Aged 35-49,Aged 50-64,Age 65+
2014-Apr-Jun,181,1693,3188,5098,3749,459
2014-May-Jul,181,1700,3181,5095,3758,463
2014-Jun-Aug,182,1718,3190,5088,3773,458
2014-Jul-Sep,188,1700,3204,5095,3778,458
2014-Aug-Oct,185,1679,3235,5099,3787,458
2014-Sep-Nov,188,1643,3246,5106,3815,453
2014-Oct-Dec,199,1677,3230,5128,3829,441
2015-Nov-Jan,203,1681,3233,5109,3851,453
2015-Dec-Feb,202,1691,3247,5109,3853,462
2015-Jan-Mar,205,1694,3239,5092,3866,476
2015-Feb-Apr,203,1700,3250,5092,3878,462
2015-Mar-May,209,1706,3250,5083,3860,457
2015-Apr-Jun,204,1715,3260,5072,3874,451
2015-May-Jul,210,1719,3254,5072,3886,459
2015-Jun-Aug,208,1717,3260,5058,3893,448
2015-Jul-Sep,213,1721,3276,5061,3929,456
2015-Aug-Oct,209,1718,3276,5066,3938,461
2015-Sep-Nov,202,1729,3283,5075,3940,482
2015-Oct-Dec,190,1733,3287,5073,3961,462
2016-Nov-Jan,195,1742,3280,5062,3974,458
2016-Dec-Feb,195,1734,3267,5097,3975,438
2016-Jan-Mar,196,1735,3260,5098,3979,456
2016-Feb-Apr,189,1727,3287,5079,4003,458
2016-Mar-May,192,1750,3294,5088,4040,468
2016-Apr-Jun,193,1751,3303,5071,4053,463
2016-May-Jul,194,1757,3309,5091,4058,448
2016-Jun-Aug,191,1754,3294,5095,4047,468
2016-Jul-Sep,189,1758,3313,5087,4064,474
2016-Aug-Oct,185,1760,3328,5077,4079,476
2016-Sep-Nov,188,1757,3332,5073,4087,483
2016-Oct-Dec,197,1748,3338,5081,4101,480
2017-Nov-Jan,200,1718,3345,5070,4108,480
2017-Dec-Feb,196,1714,3369,5064,4127,467
2017-Jan-Mar,188,1735,3380,5068,4145,471
2017-Feb-Apr,190,1730,3382,5074,4147,468
2017-Mar-May,179,1738,3395,5089,4162,463
2017-Apr-Jun,173,1725,3416,5104,4180,456
2017-May-Jul,179,1727,3437,5126,4202,452
2017-Jun-Aug,180,1706,3433,5117,4207,458
2017-Jul-Sep,177,1710,3431,5091,4218,457
2017-Aug-Oct,183,1715,3404,5128,4235,461
2017-Sep-Nov,178,1700,3419,5130,4250,455
2017-Oct-Dec,177,1689,3418,5133,4247,456
2018-Nov-Jan,175,1690,3439,5142,4247,457
2018-Dec-Feb,180,1686,3427,5153,4266,461
2018-Jan-Mar,176,1689,3431,5168,4284,467
2018-Feb-Apr,178,1692,3443,5164,4299,486
2018-Mar-May,179,1666,3449,5162,4314,487
2018-Apr-Jun,179,1666,3425,5160,4300,496
2018-May-Jul,175,1665,3430,5149,4304,510
2018-Jun-Aug,169,1665,3439,5140,4319,502
2018-Jul-Sep,164,1658,3443,5135,4340,489
2018-Aug-Oct,166,1666,3450,5152,4335,483
2018-Sep-Nov,165,1688,3451,5144,4339,482
2018-Oct-Dec,161,1687,3472,5138,4357,492
2019-Nov-Jan,164,1713,3489,5139,4387,504
2019-Dec-Feb,171,1715,3493,5138,4390,503
2019-Jan-Mar,180,1707,3500,5126,4400,508
2019-Feb-Apr,179,1707,3503,5133,4421,514
2019-Mar-May,186,1682,3510,5139,4424,529
2019-Apr-Jun,183,1711,3520,5111,4451,573
2019-May-Jul,187,1685,3510,5125,4459,551
2019-Jun-Aug,181,1630,3499,5116,4454,556
2019-Jul-Sep,188,1627,3523,5136,4447,533
2019-Aug-Oct,191,1643,3536,5134,4450,531
2019-Sep-Nov,192,1663,3536,5172,4472,550
2019-Oct-Dec,185,1661,3550,5187,4470,553
2020-Nov-Jan,190,1683,3549,5173,4477,586
