DATE,Aged 16-17,Aged 18-24,Aged 25-34,Aged 35-49,Aged 50-64,Age 65+
2007-Jun-Aug,521,3595,6427,11088,7105,639
2007-Jul-Sep,515,3616,6423,11096,7121,649
2007-Aug-Oct,529,3628,6423,11087,7155,647
2007-Sep-Nov,542,3629,6421,11094,7180,660
2007-Oct-Dec,556,3623,6434,11107,7199,659
2008-Nov-Jan,552,3637,6453,11105,7199,668
2008-Dec-Feb,546,3641,6474,11116,7223,676
2008-Jan-Mar,540,3634,6469,11124,7235,682
2008-Feb-Apr,544,3617,6463,11141,7251,690
2008-Mar-May,537,3638,6491,11158,7235,689
2008-Apr-Jun,528,3605,6491,11152,7253,693
2008-May-Jul,528,3594,6492,11137,7252,693
2008-Jun-Aug,522,3569,6461,11125,7244,689
2008-Jul-Sep,520,3577,6447,11106,7237,692
2008-Aug-Oct,508,3557,6445,11080,7249,697
2008-Sep-Nov,501,3551,6448,11074,7281,701
2008-Oct-Dec,488,3544,6443,11085,7260,708
2009-Nov-Jan,496,3534,6435,11105,7271,698
2009-Dec-Feb,491,3482,6419,11082,7254,701
2009-Jan-Mar,476,3439,6411,11061,7271,708
2009-Feb-Apr,453,3407,6385,11036,7278,713
2009-Mar-May,445,3381,6337,11002,7267,723
2009-Apr-Jun,432,3378,6305,10979,7266,727
2009-May-Jul,409,3348,6305,10957,7263,735
2009-Jun-Aug,406,3355,6330,10945,7280,760
2009-Jul-Sep,405,3321,6348,10961,7278,756
2009-Aug-Oct,409,3286,6375,10985,7266,763
2009-Sep-Nov,408,3303,6380,10970,7267,765
2009-Oct-Dec,398,3313,6390,10957,7272,771
2010-Nov-Jan,391,3296,6375,10946,7283,766
2010-Dec-Feb,385,3301,6361,10905,7300,773
2010-Jan-Mar,384,3305,6355,10870,7316,781
2010-Feb-Apr,378,3335,6362,10868,7311,794
2010-Mar-May,389,3345,6393,10897,7319,801
2010-Apr-Jun,392,3346,6442,10885,7304,825
2010-May-Jul,391,3381,6465,10881,7345,863
2010-Jun-Aug,389,3379,6473,10889,7355,855
2010-Jul-Sep,380,3406,6487,10874,7379,859
2010-Aug-Oct,376,3368,6490,10863,7358,853
2010-Sep-Nov,357,3320,6530,10850,7351,875
2010-Oct-Dec,358,3345,6532,10854,7356,880
2011-Nov-Jan,367,3357,6524,10849,7394,901
2011-Dec-Feb,368,3360,6559,10850,7418,888
2011-Jan-Mar,362,3347,6570,10857,7416,889
2011-Feb-Apr,365,3352,6556,10842,7427,895
2011-Mar-May,361,3365,6566,10832,7445,898
2011-Apr-Jun,359,3363,6555,10848,7434,888
2011-May-Jul,352,3325,6555,10815,7432,865
2011-Jun-Aug,347,3308,6555,10808,7449,832
2011-Jul-Sep,337,3286,6533,10815,7455,854
2011-Aug-Oct,334,3289,6534,10808,7473,862
2011-Sep-Nov,349,3282,6541,10790,7473,890
2011-Oct-Dec,354,3276,6551,10809,7470,881
2012-Nov-Jan,347,3268,6573,10787,7491,880
2012-Dec-Feb,354,3286,6573,10803,7476,889
2012-Jan-Mar,354,3295,6598,10797,7506,903
2012-Feb-Apr,356,3285,6613,10789,7529,920
2012-Mar-May,358,3308,6620,10805,7531,943
2012-Apr-Jun,359,3356,6626,10805,7571,949
2012-May-Jul,352,3374,6655,10823,7574,967
2012-Jun-Aug,355,3375,6659,10831,7600,959
2012-Jul-Sep,365,3347,6673,10803,7621,950
2012-Aug-Oct,349,3373,6657,10784,7622,958
2012-Sep-Nov,342,3393,6689,10786,7666,972
